Timestamp,Kategori Anda,Kategori Umur Anda,CaRek Pilihan,Alasan Memilih CaRek,Harapan Anda
9/1/2019 16:29:55,Alumni,> 40 th,Andang Bachtiar (Direktur Aeksplorasi ),Sesuai dengan kriteria kekinian (Rektor 4.0),Semoga itu semakin berkelas Internasional
9/1/2019 16:31:00,Mahasiswa,< 25 th,Acep Purqon (FMIPA-FI),Muda dan berenergi,Smoga menghasilkan pemimpin muda da berjiwa millenial
9/1/2019 16:35:23,Alumni,25 - 40 th,Sumarsono (CEO PT xxx),Background Professional,"ITB dapat kembali menjadi terbaik d Indonesia. 

Semogga kesempatan untuk generasi muda berjiwa entrepreneur. "
9/1/2019 16:35:36,Alumni,25 - 40 th,Bambang Riyanto T (STEI),Kapabilitas ybs utk meningkatkan ranking ITB,
9/1/2019 16:36:12,Alumni,> 40 th,Acep Purqon (FMIPA-FI),Keberhasilan dan prestasi,
9/1/2019 16:37:04,Alumni,> 40 th,Emir Mauludi Husni (STEI),Tipe yg futuristik dan outside-the-box yg bisa menangkap peluang masa depan,Mampu membawa itb kerjasama dengan industri. Mendorong kemajuan indonesia
9/1/2019 16:37:31,Alumni,25 - 40 th,Acep Purqon (FMIPA-FI),Sesuai dengan kriteria kekinian (Rektor 4.0),
9/1/2019 16:38:31,Alumni,25 - 40 th,Acep Purqon (FMIPA-FI),"Mendatangkan dana riset dan kerjasama eksternal, dalam dan luar negeri",
9/1/2019 16:47:22,Alumni,> 40 th,Acep Purqon (FMIPA-FI),"Mendatangkan dana riset dan kerjasama eksternal, dalam dan luar negeri",
9/1/2019 16:48:00,Dosen,> 40 th,Acep Purqon (FMIPA-FI),Sesuai dengan kriteria kekinian (Rektor 4.0),
9/1/2019 16:49:46,Umum,25 - 40 th,Acep Purqon (FMIPA-FI),Sesuai dengan kriteria kekinian (Rektor 4.0),
9/1/2019 16:55:04,Alumni,25 - 40 th,Acep Purqon (FMIPA-FI),Keberhasilan dan prestasi,
9/1/2019 16:57:38,Dosen,> 40 th,Acep Purqon (FMIPA-FI),Sesuai dengan kriteria kekinian (Rektor 4.0),Komen: alasan memilihnya hrsnya bs lbh dari 1
9/1/2019 16:59:34,Mahasiswa,< 25 th,Acep Purqon (FMIPA-FI),Kapabilitas ybs utk memajukan riset dan industri RI,
9/1/2019 17:01:03,Alumni,25 - 40 th,Benyamin Sapiie (FITB),Keberhasilan dan prestasi,Pendidikan gratis
9/1/2019 17:10:32,Alumni,> 40 th,Andang Bachtiar (Direktur Aeksplorasi ),Kapabilitas ybs utk meningkatkan ranking ITB,Semoga itb tetap Istiqomah mendidik Anak2 Indonesia menjadi berakhlak mulia dan tangguh 
9/1/2019 17:13:20,Mahasiswa,< 25 th,Acep Purqon (FMIPA-FI),Akhlak dan budi pekerti,semoga membawa ITB lebih baik lagi
9/1/2019 17:14:08,Dosen,> 40 th,Acep Purqon (FMIPA-FI),Sesuai dengan kriteria kekinian (Rektor 4.0),ITB lebih berkontribusi pada NKRI
